Year,Variable, Klamath , Siletz , Umatilla , Warm Springs , Colville , Neah bay , Spokane , Tulalip , Yakima ,Cushman-Taholah
1917,sale_of_noncompetent_land|acreage,0,0,40, NA ,60, NA , NA ,0,250,41
1917,sale_of_noncompetent_land|total_proceeds,0,0,2021, NA ,800, NA , NA ,0,12137,2250
1917,sale_of_noncompetent_land|average_price_per_acre,0,0,50.53, NA ,13.33, NA , NA ,0,48.55,54.8780487804878
1917,sale_of_inherited_land|number_of_tracts,1,1,4, NA ,2, NA , NA ,1,9,2
1917,sale_of_inherited_land|acreage,160,40,235, NA ,120, NA , NA ,2,693,92
1917,sale_of_inherited_land|total_proceeds,950,1200,12854, NA ,3840, NA , NA ,142,27593,4811
1917,sale_of_inherited_land|average_price_per_acre,5.94,30,54.7, NA ,32, NA , NA ,71,39.82,117.583333333333
1917,sale_of_land|total_number_of_tracts,1,1,5, NA ,3, NA , NA ,1,14,4
1917,sale_of_land|total_acreage,160,40,275, NA ,180, NA , NA ,2,943,133
1917,sale_of_land|total_proceeds,950,1200,14875, NA ,4640, NA , NA ,142,39730,7061
1917,sale_of_land|total_average_price_per_acre,5.94,30,54.09, NA ,25.78, NA , NA ,71,42.13,107.754716981132
1918,number_of_allotments,1351,820,1115,967,2953,373,628,395,4488,1123
1918,allotted|total_acreage,208279,77442,82644,140292,355413,3728,64954,49305,451922,93757
1918,unallotted|total_acreage,812707,0,74130,322512,1009580,19952,82488,389,412404,168888
1918,total_reservation_acreage,1020986,77442,156774,462804,1364993,23680,147442,49694,864326,262645
1918,patent_in_fee_issues_since_1906|number_of_original_allotment,108,28,330,5,225, NA ,94,19,224,51
1918,patent_in_fee_issues_since_1906|acreage_original_allotment,18245.27,2182.78,22232.61,680,23194.3, NA ,9390.5,2135.36,16328.93,4100
1918,patent_in_fee_issues_since_1906|number_of_inherited_land,5,18,56,5,4, NA ,0,1,302,5
1918,patent_in_fee_issues_since_1906|acreage_inherited_land,802.72,1620.72,4046.89,760,320, NA ,0,163.85,23387.76,312.9
1918,patent_in_fee_issues_since_1906|total_number,113,46,386,10,229, NA ,94,20,526,56
1918,patent_in_fee_issues_since_1906|total_acreage,19047.99,3803.5,26279.5,1440,23514.3, NA ,9390.5,2299.21,39716.69,4412.9
1918,patent_in_fee_issues|applications_received,71,15,78,0,159, NA ,51,6,140,48
1918,patent_in_fee_issues|applications_denied,2,6,8,0,0, NA ,3,1,4,2
1918,patent_in_fee_issues|applications_approved,69,9,70,0,159, NA ,48,5,136,46
1918,patent_in_fee_issues|acreage_approved,12333,904,6200,0,17820, NA ,5324,321,10292,3610
1918,sale_of_noncompetent_land|number_of_tracts,18, NA ,5, NA ,6, NA , NA ,2,11,2
1918,sale_of_noncompetent_land|acreage,2406, NA ,508, NA ,199, NA , NA ,58,579,40
1918,sale_of_noncompetent_land|total_proceeds,25612, NA ,47760, NA ,3620, NA , NA ,5931,26135,1948
1918,sale_of_noncompetent_land|average_price_per_acre,10.6450540315877,NA,94.0157480314961,NA,18.1909547738693,NA,NA,102.258620689655,45.1381692573403,48.7
1918,sale_of_inherited_land|number_of_tracts,20, NA ,6, NA ,0, NA , NA ,3,21,3
1918,sale_of_inherited_land|acreage,2962, NA ,440, NA ,0, NA , NA ,120,1688,165
1918,sale_of_inherited_land|total_proceeds,30697, NA ,47415, NA ,0, NA , NA ,3150,64774,4890
1918,sale_of_inherited_land|average_price_per_acre,10.36, NA ,107.76, NA ,0, NA , NA ,26.25,38.37,29.6363636363636
1918,sale_of_land|total_number_of_tracts,38, NA ,11, NA ,6, NA , NA ,5,32,5
1918,sale_of_land|total_acreage,5368, NA ,948, NA ,199, NA , NA ,178,2267,205
1918,sale_of_land|total_proceeds,56309, NA ,95175, NA ,3620, NA , NA ,9081,90909,6838
1918,sale_of_land|total_average_price_per_acre,10.49, NA ,100.4, NA ,18.19, NA , NA ,51.02,40.1,33.3560975609756
1919,number_of_allotments,1352,820,1115,967,2956,373,628,395,4488,1123
1919,allotted|total_acreage,208439,77442,82644,140292,355893,3728,64954,49305,451922,93757
1919,unallotted|total_acreage,812547,0,74130,322512,1009100,19952,82488,389,412404,168888
1919,total_reservation_acreage,1020986,77442,156774,462804,1364993,23680,147442,49694,864326,262645
1919,patent_in_fee_issues_since_1906|number_of_original_allotment,148,166,334,5,389, NA ,107,39,431,55
1919,patent_in_fee_issues_since_1906|acreage_original_allotment,24214.27,15779.74,22673.61,680,40830.3, NA ,10647,4298.36,32991.93,4533
1919,patent_in_fee_issues_since_1906|number_of_inherited_land,5,19,62,5,5, NA ,1,1,302,6
1919,patent_in_fee_issues_since_1906|acreage_inherited_land,802.72,1698.76,4446.89,760,480, NA ,80,163.85,23387.76,393
1919,patent_in_fee_issues_since_1906|total_number,153,185,396,10,394, NA ,108,40,733,61
1919,patent_in_fee_issues_since_1906|total_acreage,25016.99,17478.5,27120.5,1440,41310.3, NA ,10727,4462.21,56379.69,4926
1919,patent_in_fee_issues|applications_received,43,142,17,0,165, NA ,17,21,207,7
1919,patent_in_fee_issues|applications_denied,3,3,7,0,0, NA ,3,1,0,2
1919,patent_in_fee_issues|applications_approved,40,139,10,0,165, NA ,14,20,207,5
1919,patent_in_fee_issues|acreage_approved,5969,13675,841,0,17796, NA ,1337,2163,16663,513
1919,sale_of_noncompetent_land|number_of_tracts,5, NA ,0, NA ,1, NA ,1, NA ,7,3
1919,sale_of_noncompetent_land|acreage,572, NA ,0, NA ,80, NA ,121, NA ,243,43
1919,sale_of_noncompetent_land|total_proceeds,9396, NA ,0, NA ,1251, NA ,2400, NA ,12207,830
